Active Lives Children and Young People Survey Academic Year 21/22
Loneliness (years 7-11)
",""Often / always"",""Some of the time"",""Occasionally"",""Hardly ever"",""Never"""
"Fourth most deprived decile,""11.4%"",""24.4%"",""25.5%"",""27.8%"",""10.9%"""
"Fifth most deprived decile,""12.1%"",""21.6%"",""25.6%"",""29.5%"",""11.3%"""
"Fifth least deprived decile,""12.2%"",""24.4%"",""25.6%"",""27.7%"",""10.2%"""
"Fourth least deprived decile,""11.5%"",""22.8%"",""28.0%"",""28.3%"",""9.5%"""
"Third least deprived decile,""10.2%"",""24.8%"",""25.9%"",""29.9%"",""9.3%"""
"Second least deprived decile,""10.8%"",""24.4%"",""26.7%"",""29.8%"",""8.3%"""
"Least deprived decile,""9.3%"",""23.1%"",""26.9%"",""32.9%"",""7.8%"""
"Most deprived places (IDACI 1-3),""12.1%"",""23.5%"",""25.2%"",""27.9%"",""11.2%"""
"Mid-deprivation places (IDACI 4-7),""11.8%"",""23.3%"",""26.1%"",""28.3%"",""10.5%"""
"Least deprived places (IDACI 8-10),""10.1%"",""24.1%"",""26.4%"",""30.8%"",""8.5%"""
"Urban,""11.3%"",""23.6%"",""26.0%"",""29.0%"",""10.1%"""
"Rural,""11.3%"",""23.6%"",""26.3%"",""29.6%"",""9.1%"""
"Urban Major Conurbation,""10.9%"",""22.8%"",""25.4%"",""29.4%"",""11.4%"""
"Urban Minor Conurbation,""12.7%"",""25.5%"",""25.2%"",""28.1%"",""8.5%"""
"Urban City and Town (Sparse and Non Sparse),""11.4%"",""24.1%"",""26.4%"",""28.8%"",""9.3%"""
"Rural Town (Sparse and Non Sparse),""12.3%"",""24.4%"",""25.8%"",""28.2%"",""9.2%"""
"Rural Village (Sparse and Non Sparse),""10.1%"",""21.9%"",""26.9%"",""32.4%"",""8.6%"""
"Rural Hamlets  (Sparse and Non Sparse),""6.5%"",""22.6%"",""29.3%"",""31.8%"",""9.8%"""
